# Pathway	4367_Abundance	4368_Abundance	4369_Abundance	4370_Abundance	4371_Abundance	4372_Abundance	4373_Abundance	4374_Abundance	4375_Abundance	4376_Abundance	4377_Abundance	4378_Abundance	4379_Abundance	4380_Abundance	4381_Abundance	4382_Abundance	4383_Abundance	4384_Abundance	4385_Abundance	4386_Abundance	4387_Abundance	4388_Abundance	4389_Abundance	4390_Abundance	4391_Abundance	4392_Abundance	4393_Abundance	4394_Abundance	4395_Abundance	4396_Abundance	4397_Abundance	4398_Abundance	4399_Abundance	4400_Abundance	4401_Abundance	4402_Abundance	4403_Abundance	4404_Abundance	4405_Abundance	4406_Abundance	4408_Abundance	4409_Abundance	4410_Abundance	4412_Abundance	4413_Abundance	4414_Abundance	4416_Abundance	4417_Abundance	4418_Abundance	4419_Abundance	4421_Abundance	4422_Abundance	4423_Abundance	4424_Abundance	4425_Abundance	4426_Abundance	4427_Abundance	4428_Abundance	4429_Abundance	4430_Abundance	4431_Abundance	4432_Abundance	4433_Abundance	4434_Abundance	4435_Abundance	4436_Abundance	4437_Abundance	4438_Abundance
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	1.9762e-05	1.55179e-05	0.00028188	0.000236042	0.000183009	0.000423759	0.000464741	7.74132e-06	0.000362685	0.000248532	0.000368778	0.000296031	0.000270671	0.000168843	0.00013171	0.00025053	0.000288847	0.000359251	0.000278394	0.000317747	0.000211302	0.000403047	0.000305007	0.000276224	0.000461158	0.000146272	0.000142721	0.000172583	0.000185354	0.000252075	0.000335138	0.000117797	0.000305023	0.000588765	0.000217274	0.000294401	0.00026922	0.000304737	0.000188896	3.53306e-05	0.000154872	2.9946e-05	0.000250432	0.00056137	0.000247828	0.000118668	0.000109852	0.000356288	0.000314743	0.000199979	0.00013754	0.00028272	0.00022385	0.00021794	0.000262144	0.000267227	0.000292604	0.000217736	0.000274755	0.000282761	0.000276157	0.000329817	0.000337177	0.000229394	0.000331161	0.000241278	0.000312509	0.00031402
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86978e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0737e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58002e-07	0	0	3.09139e-07	0	0	0	1.43572e-07	0	0	0	0	1.56444e-07	0	0	0	0	6.47229e-07	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	1.37085e-06	0	9.96649e-05	6.75238e-05	0.000212727	0.000124315	3.20239e-06	6.39266e-06	4.95111e-05	0	1.30278e-05	0.000124324	4.51508e-05	4.3726e-05	0	0.000137337	3.44938e-05	2.3236e-05	0.000123372	2.63938e-05	0.000215396	1.26264e-05	2.10788e-05	3.24548e-06	2.0895e-05	5.58894e-05	7.9044e-05	7.2632e-05	2.36788e-06	5.35437e-05	1.90622e-05	7.35254e-07	4.4093e-05	0	2.74405e-05	3.51018e-05	2.9542e-05	2.05735e-05	4.14961e-05	0	1.34127e-05	2.58923e-06	2.48097e-05	0.000273239	0.000183844	2.38263e-05	9.01486e-05	7.46731e-05	7.52072e-05	5.18392e-05	7.94758e-05	4.95055e-07	4.44544e-05	3.78411e-05	1.83838e-05	1.00576e-05	3.44719e-05	3.18047e-05	5.74566e-05	5.82586e-05	5.59614e-05	5.70529e-05	4.01037e-05	5.25644e-05	6.44004e-05	5.37863e-05	9.10376e-06	2.38253e-05
PWY-6151: S-adenosyl-L-methionine cycle I	2.1615e-05	4.57344e-05	0.000476554	0.000465149	0.000155233	0.000352892	0.000926373	0.000983538	0.00056946	0.000203111	0.000143151	0.000317899	0.000689697	0.000367328	8.7197e-05	0.000188335	0.000417508	0.000536516	0.0007591	0.00043512	0.000955628	0.000457774	0.000815232	0.000477712	0.000611313	0.000118548	0.000565478	0.000222984	0.000237696	0.000719502	0.000643174	0.00034951	0.000587819	0.000427173	8.93084e-05	0.000506575	0.000623404	0.000574508	9.59156e-05	0	9.35842e-05	0	0.000604231	0.000335704	0.000135769	0.000498041	0.000450717	0.000516877	0.000548656	0.000281973	0.000177773	0.000109428	0.000614382	0.000692096	0.000624083	0.000766897	0.000614351	0.00068933	0.000521969	0.000532267	0.000654314	0.000612809	0.000593569	0.000756149	0.000863908	0.000787366	0.000454322	0.000633931
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	5.66957e-05	0	0.000256711	0.000355282	0.000203819	0.000437647	0.000715189	1.18859e-05	0.000532015	0.000307254	0.000234924	0.000293396	0.00054226	0.000431826	9.06033e-05	0.00026699	0.000416036	0.000531194	0.000686515	0.000754021	0.00103663	0.000587165	0.000600092	0.000310486	0.000734816	0.00016969	0.000558832	0.000220563	0.000195801	0.000753503	0.000608958	0.000554041	0.000612419	7.10381e-05	6.44005e-05	0.000564637	0.000652156	0.000580706	0.000230333	0	7.15152e-05	1.64174e-05	0.000610545	0.000363999	0.000179188	0.00041214	0.000321492	0.000492992	0.000565026	0.000230769	9.24734e-05	0.000343927	0.000676879	0.000702167	0.000659371	0.000839241	0.000640302	0.000684381	0.000583611	0.000593991	0.000711017	0.000672333	0.000639546	0.000741542	0.000532122	0.000714587	0.000464298	0.000694263
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39214e-06	0	0	0	0	2.62978e-06	0	0	0	1.83655e-06	0	0	0	0	0	0	1.96357e-06	0	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30245e-06	0	0	0	0	1.05426e-06	0	0	0	3.1832e-06	0	0	0	0	0	0	6.08205e-06	0	0	0
PWY-6168: flavin biosynthesis III (fungi)	1.08196e-06	0	8.16995e-05	0.000207464	0.000191967	8.66816e-05	3.78481e-06	0.000128602	0.000122323	0	0.000266664	0.00021477	0.000131957	0.000269204	0	9.58197e-05	0.000214212	0.000339855	5.25492e-05	5.45977e-05	7.39069e-05	0.000161579	9.78279e-05	0.000239375	0.000292054	0.00019013	0.000146947	0.000151107	6.39346e-05	0.000302309	0.000236424	0.000441469	0.00032059	0	4.30131e-05	0.000250733	0.000280965	0.00033765	3.02805e-05	0	1.07468e-05	0	0.000271519	7.72641e-07	0.000180615	0.000167669	5.37584e-05	0.000166945	0.000184896	9.25078e-05	0	5.42919e-07	0.00025102	0.000168019	0.000205489	0.000181728	0.000256615	0.000165988	0.000212598	0.000222377	0.00028947	0.000269955	0.000255522	0.000140606	0.000206668	0.000177821	4.69557e-05	0.000151427
PWY-6174: mevalonate pathway II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7481e-06	0	0	0	0	1.57788e-06	0	0	0	2.16985e-06	0	0	0	0	0	0	0	0	0	0
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73484e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0	3.12662e-06	3.16949e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	7.48551e-06	3.53483e-07	0	0	0	0	0	0	0	0	0	2.86155e-05	0	0	0	0	0	1.23824e-06	0	0	4.93083e-07	2.36703e-07	0	0	0	0	3.13133e-07	0	0	0	4.08483e-07	3.87603e-07	0	0	0	0	0	0	3.25973e-07	0	0
PWY-621: sucrose degradation III (sucrose invertase)	5.90146e-06	0	6.79935e-05	9.76074e-05	0.000220424	0.000199518	8.09796e-05	1.99843e-06	2.17176e-05	0.000408606	0.000201769	4.59462e-05	0.00011125	6.79245e-05	0.000963523	0.000336433	8.34115e-05	0.000290157	0.000273248	7.6621e-05	0.000532406	0.000410301	0.000185385	0.000203175	0.000462448	0.000120922	0.000324431	0.000128079	0.000123272	0.000302433	0.00029677	1.11235e-06	0.000240841	0.000209021	0.000134464	0.000175849	0.000212923	0.00042378	0.000306549	0	0.000150109	0	0.000295869	0.000123043	0.000142831	0.000178958	0.000338428	0.000107747	0.000205108	0.000100641	0.000179319	0.000604111	0.000328652	0.00024594	0.000278903	0.000347382	0.000341391	0.00023526	0.000248995	0.000260046	0.000332652	0.000372799	0.000308626	0.000336517	0.000169801	0.000249591	0.000118993	0.000288632
PWY-622: starch biosynthesis	0	0	5.00754e-06	0	3.17583e-06	0	0	0	4.30227e-06	0	0	0	1.33496e-05	0	0	0	2.78875e-06	6.58472e-07	0	0	0	1.93068e-06	0	0	0	0	1.40322e-07	9.8137e-07	0	0	2.7583e-07	0	0	0	0	7.20255e-07	0	0	2.6783e-05	0	0	0	0	0	0	9.34848e-06	1.03675e-06	0	0	1.48256e-06	0	0	0	2.06135e-06	0	0	3.9847e-07	1.92661e-06	0	0	0	7.60566e-07	0	3.87728e-07	0	0	9.41992e-07	0
PWY-6263: superpathway of menaquinol-8 biosynthesis II	0	0	0	0	0	4.69958e-06	0	0	0	0	0	0	1.971e-06	0	0	0	0	0	0	4.87956e-05	0	1.47139e-05	3.27524e-05	0	7.6582e-06	0	0	0	2.77241e-06	0	2.06464e-05	0	5.54558e-07	0	0	7.27929e-07	0	1.6361e-05	0	0	0	0	0	0	0	0	0	1.70153e-05	4.57951e-06	0	0	0	1.60364e-06	1.0568e-06	1.08074e-06	4.07061e-06	5.27808e-06	4.53804e-07	4.90612e-06	3.35181e-06	1.10939e-06	1.83395e-06	1.61804e-06	7.04849e-07	2.85662e-06	1.86083e-06	5.98702e-07	0
PWY-6270: isoprene biosynthesis I	2.10084e-06	0	0.000245331	0.000162583	2.54703e-05	0.000230723	0.000328822	0.000373695	0.0003228	0.000196058	3.07269e-06	9.33006e-05	0.000349038	0.00015031	0	0.000196902	0.000172816	8.48081e-05	0.000155584	0.000167006	3.3253e-05	6.73477e-05	0.000100961	0.000300575	5.6975e-05	1.47545e-06	0.00013658	6.85989e-05	2.40414e-05	0.000111065	0.000403186	0.000139982	4.94353e-05	3.91327e-06	2.71822e-05	0.000117596	4.84552e-05	4.42798e-05	9.35741e-05	0	3.06806e-05	4.84011e-06	9.23354e-05	0.000151153	5.80129e-06	0.000258499	0.000220343	0.000164129	0.000229057	0.000132968	1.0295e-05	1.3492e-05	3.2427e-05	0.000224921	0.000108586	7.76147e-05	8.43054e-05	0.000216529	5.50621e-05	5.45745e-05	6.57862e-05	4.73554e-05	5.89882e-05	9.02626e-05	0.000115631	0.000130034	0.00018957	2.32188e-05
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.00116781	2.54368e-05	0.000607049	0.000381327	0.000186882	0.000507095	0.00075997	0.000544954	0.00057868	0.000310024	0.000336087	0.000258889	0.000880618	0.000423556	7.80269e-05	0.000179786	0.000391064	0.000494203	0.000816738	0.000734062	0.000769895	0.001035	0.000852909	0.000481502	0.000648727	0.000123068	0.000543997	0.000175128	0.000193984	0.000686483	0.000665434	0.000566154	0.000542694	0.000498295	0.000151195	0.000532523	0.000608326	0.000509819	0.000174663	2.49176e-05	8.15487e-05	0.00227137	0.000543839	0.000574145	0.00017292	0.000442627	0.00029276	0.000518488	0.000478329	0.000308902	0.000201965	0.000220274	0.000598057	0.000563301	0.000608764	0.000766943	0.000620725	0.000545146	0.000567552	0.000565793	0.000594446	0.000604308	0.000563496	0.000589421	0.000411982	0.000489835	0.000501455	0.000599026
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1.72616e-05	0	5.08497e-05	5.90149e-05	0.000121581	0.000121237	3.19384e-06	0	0.000193952	0.000285398	0.00040065	0.000145918	5.74832e-05	6.92537e-05	9.56201e-05	0.000119564	5.22939e-05	1.18765e-05	4.5684e-05	3.45642e-05	1.49325e-06	1.9075e-05	2.26994e-05	0.000135508	1.61422e-05	0.000122754	6.75053e-05	0.000140085	8.42681e-05	1.06816e-05	2.70182e-05	6.83821e-06	0	5.42467e-05	5.13519e-05	2.33847e-05	1.45252e-05	1.86995e-05	0.00016061	4.37465e-05	7.68728e-05	4.25068e-06	2.40812e-05	5.80933e-05	0.000129023	5.39595e-05	5.28008e-05	0.000172612	7.59539e-05	0.000137282	0	0.000282839	1.10512e-05	1.81268e-05	3.03259e-05	1.20524e-05	1.24552e-05	1.79263e-05	1.46288e-05	1.53171e-05	9.6144e-06	7.3606e-06	3.03436e-05	2.61403e-06	1.45861e-05	1.13351e-05	4.31635e-06	3.1664e-06
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	1.91598e-05	0	5.53216e-05	6.40044e-06	1.18232e-05	0.000129277	1.06437e-06	0	3.72167e-05	0.000223756	0.000151363	0	1.44872e-05	1.21097e-05	0	5.92882e-05	5.40716e-07	0	5.02286e-05	4.11261e-05	1.65879e-06	1.83255e-05	1.08406e-05	0.000167347	1.78842e-05	0	7.39567e-05	7.32533e-05	7.62094e-05	1.18488e-05	3.0008e-05	8.82119e-06	0	5.94034e-05	5.48976e-05	0	1.60908e-05	2.13101e-05	7.94356e-05	0	7.86883e-06	5.9907e-06	2.66274e-05	7.65358e-05	0.000128866	5.61563e-06	5.88073e-05	8.54436e-06	4.84591e-05	7.57243e-05	0	0	1.22518e-05	2.00784e-05	3.34839e-05	1.48204e-05	1.38026e-05	1.98555e-05	1.61991e-05	1.69584e-05	1.0662e-05	8.16663e-06	3.35131e-05	2.90327e-06	1.61749e-05	1.25728e-05	4.7885e-06	3.51644e-06
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	1.83281e-05	0	5.88863e-05	1.19291e-05	2.17288e-05	0.000141997	0	0	6.41838e-05	1.12074e-05	0.000125939	0	2.51134e-05	2.15991e-05	0	8.11652e-05	1.07426e-06	0	5.45135e-05	4.61464e-05	0	1.93388e-05	1.66858e-05	0.000160364	1.86231e-05	0	7.65302e-05	9.80562e-05	8.20229e-05	0	3.19584e-05	9.09433e-06	0	1.65386e-05	0	0	2.89182e-06	2.17739e-05	9.25283e-05	0	1.20911e-05	5.2437e-06	3.07061e-05	6.98521e-05	7.82941e-05	1.05242e-05	5.62117e-05	1.64489e-05	6.78369e-05	0.000103013	0	0	8.0622e-06	1.37482e-05	6.91765e-06	1.44888e-05	1.18982e-05	1.45759e-05	8.74472e-06	1.55198e-05	3.18708e-06	5.13214e-06	1.52098e-05	0	1.09339e-05	3.37101e-06	2.50138e-06	0
PWY-6305: putrescine biosynthesis IV	0	0	4.37037e-05	0.00016436	0.000161608	7.54593e-05	0.00026281	0	1.84949e-05	0.000143061	0.000297582	9.91451e-05	2.03058e-05	3.07145e-05	4.71439e-05	0.000246074	4.883e-05	0.000151069	4.23361e-05	0.000566107	0.000204906	0.000126689	0.000195216	0.000123868	0.000383622	0.000156341	0.000161076	0.000155261	5.83742e-05	0.000197352	0.00015168	6.28964e-06	4.36615e-05	0	1.93114e-05	6.97608e-05	0.000134749	0.00017501	0.000116227	3.16655e-05	2.24807e-05	0	0.000100566	3.42982e-05	6.148e-05	1.53503e-05	3.27491e-05	5.30061e-05	8.36885e-05	8.4433e-05	0	0.000223215	0.000189944	0.0001733	0.000189424	0.000225485	0.000194358	0.000165756	0.000151381	0.000156744	0.000188205	0.000200128	0.000214201	0.000112289	7.26697e-05	8.49485e-05	9.71442e-05	0.000205193
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	0	0	0	0	3.68572e-07	0	0	0	0	0	0	0	0	7.57812e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98193e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38596e-05	0	0	0	0	0	1.06258e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6313: serotonin degradation	0	0	0	0	4.1269e-07	0	0	0	0	0	0	0	0	9.01672e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23453e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6317: galactose degradation I (Leloir pathway)	0.00103974	1.21482e-05	0.000154355	0.000297486	0.000161422	0.000217655	0.000297853	3.77684e-05	0.000273259	7.48703e-06	7.54073e-07	0.000206053	0.000432491	0.000216093	0	9.7919e-05	0.000205202	0.000394114	0.000164374	0.000893465	0.000553646	0.000394275	0.000475075	0.000361805	0.000693875	0.000123086	0.000444837	0.000130036	7.12288e-05	0.000518725	0.000523635	0.000147144	0.000409122	0.000319688	0	0.000300454	0.000472176	0.000458025	4.77266e-05	0	2.53908e-05	8.66876e-06	0.000433848	0.000305675	0.000164166	0.000218122	0.000294345	0.000309484	0.00020916	0.000125646	0	1.32253e-06	0.000498245	0.000380142	0.00049192	0.00067561	0.000498114	0.000386685	0.000414395	0.000402732	0.000499527	0.000535418	0.000515447	0.000384692	0.000201198	0.000290978	0.000291375	0.000418349
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	0	0	0	0	0	0	0	0	0	0	6.15125e-07	0	0	0.000178069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85201e-05	0	0	0	0	0	1.60591e-06	4.63995e-06	3.15083e-07	0	0	3.89487e-07	8.13027e-07	0	2.13464e-06	0	0	0	0	0	0	6.63045e-07	0	4.09153e-07	0	0	0	0	1.09466e-06	0	0	0	3.1235e-07	0
PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6721e-06	0	0	0	0	0	6.94156e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0	0	6.39263e-05	0.000129549	0.000330927	3.25428e-05	2.527e-05	0	7.03638e-05	0	1.84221e-06	0.000251844	3.20923e-05	0.000123219	0	0.000230277	0.000117194	6.25371e-05	7.45177e-05	9.85368e-05	0.000100018	7.59097e-05	7.17712e-05	5.76894e-05	0.000148095	0.000237327	0.000260457	0.000251317	1.43493e-05	0.000135796	0.000165102	3.19142e-05	0.000124568	0	0	0.00010441	4.37198e-05	0.000182903	0.000121373	0	0	4.14328e-06	0.000127726	2.90798e-05	0.000322662	5.33659e-05	0.0001025	0.000108325	8.49994e-05	0.000118279	0	2.05643e-06	0.000129186	0.000156416	0.000124066	0.000175089	0.00013896	0.000159704	0.000114518	0.000117572	0.000113482	0.000184702	0.000177717	8.34599e-05	2.56408e-05	7.47019e-05	0.000103911	9.82069e-05
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	1.03616e-05	0	0.000335282	0.000370994	0.000232848	0.000344139	0.000302555	0.00026258	0.000322171	0.000260538	3.89183e-05	0.000287724	0.000155189	0.000385854	0	0.000208529	0.00033684	0.00052079	0.00029219	0.000285207	0.000203912	0.000418295	0.000272042	0.00041458	0.000564519	0.000199638	0.000378981	0.00022102	0.00018807	0.00033461	0.000171639	0.000590405	0.000420248	7.62677e-05	8.22261e-05	0.000282033	0.000413992	0.000523129	9.60809e-05	5.73362e-05	5.98606e-06	1.54562e-05	0.000374028	0.000249099	0.000183335	0.000205597	0.000178326	0.0004004	0.000367731	0.000200045	6.42312e-05	6.66347e-06	0.000394467	0.000268023	0.000383428	0.000469062	0.000453068	0.000247525	0.00033192	0.000345636	0.000459778	0.000459828	0.000424477	0.000357394	0.000408811	0.000358888	0.000233999	0.000334783
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.00131335	0	0.000456862	0.000425289	0.000235877	0.000443363	0.000672297	0.00069495	0.000599076	0.000199372	2.19513e-05	0.000350481	0.000717056	0.000514157	0	0.000169946	0.000447768	0.000636303	0.000758567	0.000799805	0.0011757	0.000793077	0.000719542	0.000494525	0.000761735	0.000117438	0.000527373	0.000237589	0.000239851	0.000787625	0.000715752	0.000735754	0.000668535	0.000204968	0.000119304	0.000602397	0.000712024	0.000646174	6.24183e-05	0	3.06326e-06	0.00231938	0.00060079	0.000563305	0.000178737	0.000472649	0.000356021	0.000532741	0.000560934	0.000243546	0.000206992	3.62728e-06	0.000703672	0.000651497	0.000690072	0.000844033	0.000670264	0.000632972	0.000604568	0.000616797	0.000696802	0.000700133	0.000685076	0.000707653	0.000714933	0.00070242	0.000481593	0.000739089
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	3.63756e-05	0	0.00042502	0.000410426	0.000235382	0.00042617	0.000650986	0.000646268	0.000578372	0.000257208	3.24891e-05	0.000325811	0.000704126	0.000512607	0	0.000197073	0.00042583	0.000596865	0.000728173	0.000714448	0.00113928	0.000740355	0.000681283	0.000474033	0.000723155	0.000191062	0.000519849	0.000235605	0.000239866	0.000753505	0.000696796	0.000733653	0.000631199	0.000185957	0.000116729	0.000578554	0.00068786	0.000609484	8.50388e-05	5.4053e-05	4.87407e-06	1.64414e-05	0.000571623	0.000555049	0.000181247	0.000447924	0.00033464	0.000526343	0.000547495	0.000239414	0.000196163	5.35525e-06	0.000681752	0.000631706	0.000668413	0.000802616	0.000641248	0.00061102	0.000590812	0.000602854	0.000672708	0.00066098	0.000654503	0.00068522	0.000680265	0.000673772	0.000474431	0.000722597
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	0	0	0	1.52606e-05	0	0	4.70537e-07	0	0	1.2406e-06	3.92704e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64841e-06	0	0	0	0	0	0	0	0	0	0	0	4.85749e-05	4.08962e-06	0	0	5.95184e-06	0	0	0	0	1.64194e-07	0	0	0	0	0	0	0	0	0	0	9.46713e-07	0	0
PWY-6415: L-ascorbate biosynthesis V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7982e-07	0	0	0	0	0	0	0	1.916e-07	0	5.18786e-07	0	0	0	0	4.69406e-06	0	0	0	0	0	0	0	0	0	0	0	8.71378e-07	0	0	0	0	2.58933e-07	1.30901e-06	3.03341e-07	0	2.00935e-06	1.10128e-06	2.65893e-07	7.90276e-07	0	1.38726e-06	0	3.26894e-07	1.43649e-06	1.24536e-06	0	0
PWY-6433: hydroxylated fatty acid biosynthesis (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55937e-05	0	0	0	0	0	1.21844e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.05797e-06	0	1.9207e-06	2.33291e-07	0	1.21408e-06	0	0	0	9.85998e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.37729e-06	0	0	0	3.15552e-05	0	0	2.13166e-07	0	9.91339e-08	7.44867e-07	3.16146e-07	0	0	1.27152e-07	0	3.52384e-07	0	0	0	0	2.32376e-07	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	4.23075e-06	0	0	0	0	1.12099e-05	0	7.08988e-06	1.14694e-05	0	0	0	9.57303e-06	0	0	6.12659e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19391e-05	0	0	0	3.32859e-05	0	1.87287e-06	0	0	7.9807e-05	1.12453e-06	0	0.000115717	0	0	2.40157e-06	2.68319e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	5.93566e-06	0	0.00011881	1.14066e-05	4.10023e-05	0.000217324	4.49696e-06	2.80728e-05	0.000249354	2.64076e-06	3.74696e-05	0	3.7523e-05	1.25647e-06	0	7.06604e-05	3.1268e-06	2.2694e-07	3.7463e-05	5.15711e-05	0	5.59286e-06	1.08987e-05	0.00030395	0	0	3.70928e-06	0.000101152	0.000100462	0	2.40671e-05	7.5411e-07	0	5.0331e-06	8.19391e-05	1.3172e-06	1.80753e-06	1.10432e-06	7.89867e-05	0	5.91783e-06	1.29593e-05	7.8295e-07	0.000177845	0.000177755	1.74338e-05	0.000167596	1.46703e-05	0.000113543	9.14619e-06	2.68319e-05	4.82299e-06	4.77419e-07	5.13828e-06	5.65069e-05	2.12821e-05	1.5826e-06	4.73424e-06	5.62995e-06	5.07019e-06	1.72941e-06	1.91349e-06	5.2064e-05	5.18675e-06	0	0	4.00762e-05	3.12311e-06
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	2.26462e-06	0	9.20358e-05	0.000250757	0.000238081	9.44344e-05	0	0	2.32549e-05	0.000223509	0.000244869	0.000137663	6.02903e-05	4.85212e-05	4.93322e-05	0.000144217	5.16898e-05	0.000189039	2.44921e-05	3.32134e-05	6.30949e-05	6.89957e-05	5.77279e-05	0.000292171	0.000294517	0.000175652	7.76079e-05	0.000190129	4.66279e-05	3.19808e-05	4.74616e-05	7.0616e-06	3.87359e-05	0.000392163	2.19886e-05	7.64864e-05	0.000195744	0.000174927	4.37523e-05	1.36433e-05	1.08239e-06	0	0.000154034	5.69734e-05	0.000225878	3.60225e-05	7.4163e-05	2.77969e-05	0.000147628	9.22079e-05	0	8.03799e-06	0.000183153	9.85492e-05	0.000186832	0.000164356	0.000227929	9.498e-05	0.000145726	0.000152408	0.000189585	0.00016312	0.000147336	0.000133504	0.000112286	0.000143378	9.02621e-05	0.000153785
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	4.27623e-06	0	5.62386e-05	6.55421e-05	0.00014974	0.000101898	1.31032e-06	0	6.52046e-05	0.000285549	0.000180459	0.0001495	3.48299e-05	6.22443e-05	8.22042e-05	0.000152307	5.55689e-05	1.39366e-05	4.02659e-05	3.29421e-05	1.19335e-06	1.86904e-05	2.1683e-05	4.14211e-05	1.38334e-05	0.000145954	6.46927e-05	0.000146556	7.23324e-05	8.64135e-06	1.97e-05	4.84793e-06	0	3.15791e-06	2.82223e-05	2.52958e-05	1.21578e-05	1.53002e-05	0.000153682	0	6.48066e-05	2.69555e-06	2.76787e-05	3.66805e-05	0.0001466	4.2247e-05	4.34706e-05	0.000128375	6.89108e-05	0.000108344	0	0.000294641	9.12915e-06	1.39184e-05	2.62587e-05	9.349e-06	1.03141e-05	1.37867e-05	1.25773e-05	1.33796e-05	8.08457e-06	6.03339e-06	2.60225e-05	2.11692e-06	1.19407e-05	9.10094e-06	3.39174e-06	2.79959e-06
